date,county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths,Latitude,Longitude
1/19/2021,Autauga,Alabama,1001,5227,55,4619,48,608,7,32.532237,-86.64644
1/19/2021,Baldwin,Alabama,1003,16513,183,11876,133,4637,50,30.659218,-87.746067
1/19/2021,Barbour,Alabama,1005,1738,36,991,28,747,8,31.870253,-85.405104
1/19/2021,Bibb,Alabama,1007,2170,47,1789,28,381,19,33.015893,-87.127148
1/19/2021,Blount,Alabama,1009,5320,83,4061,73,1259,10,33.977358,-86.56644
1/19/2021,Bullock,Alabama,1011,997,28,891,20,106,8,32.101759,-85.717261
1/19/2021,Butler,Alabama,1013,1707,58,1572,54,135,4,31.751667,-86.681969
1/19/2021,Calhoun,Alabama,1015,11206,200,8576,165,2630,35,33.770516,-85.827909
1/19/2021,Chambers,Alabama,1017,2886,69,1496,52,1390,17,32.915504,-85.394032
1/19/2021,Cherokee,Alabama,1019,1609,30,1064,25,545,5,34.069515,-85.654242
1/19/2021,Chilton,Alabama,1021,3378,65,2876,49,502,16,32.854051,-86.726607
1/19/2021,Choctaw,Alabama,1023,515,24,459,13,56,11,31.990954,-88.248889
1/19/2021,Clarke,Alabama,1025,2831,33,1972,24,859,9,31.685521,-87.818624
1/19/2021,Clay,Alabama,1027,1270,45,1034,40,236,5,33.2704,-85.863525
1/19/2021,Cleburne,Alabama,1029,1184,23,1065,19,119,4,33.671964,-85.516126
1/19/2021,Coffee,Alabama,1031,4462,56,3046,28,1416,28,31.402258,-85.989602
1/19/2021,Colbert,Alabama,1033,5354,73,3882,63,1472,10,34.703112,-87.801457
1/19/2021,Conecuh,Alabama,1035,951,20,738,20,213,0,31.430926,-86.988722
1/19/2021,Coosa,Alabama,1037,605,15,363,12,242,3,32.931445,-86.243482
1/19/2021,Covington,Alabama,1039,3301,68,1742,50,1559,18,31.243987,-86.448721
1/19/2021,Crenshaw,Alabama,1041,1202,44,885,38,317,6,31.732826,-86.319222
1/19/2021,Cullman,Alabama,1043,8094,105,5609,71,2485,34,34.131923,-86.869267
1/19/2021,Dale,Alabama,1045,3997,81,2679,70,1318,11,31.430654,-85.609476
1/19/2021,Dallas,Alabama,1047,3051,96,2287,64,764,32,32.33354,-87.114356
1/19/2021,DeKalb,Alabama,1049,7715,97,6732,82,983,15,34.460929,-85.803992
1/19/2021,Elmore,Alabama,1051,7923,101,6102,86,1821,15,32.597229,-86.142735
1/19/2021,Escambia,Alabama,1053,3213,42,2060,36,1153,6,31.122287,-87.16841
1/19/2021,Etowah,Alabama,1055,11805,168,9323,145,2482,23,34.047641,-86.034263
1/19/2021,Fayette,Alabama,1057,1712,26,1405,22,307,4,33.716157,-87.764292
