date,county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
11/16/2020,Autauga,Alabama,1001,2456,36,2199,33,257,3
11/16/2020,Baldwin,Alabama,1003,7646,84,6397,80,1249,4
11/16/2020,Barbour,Alabama,1005,1128,9,766,9,362,0
11/16/2020,Bibb,Alabama,1007,986,17,887,13,99,4
11/16/2020,Blount,Alabama,1009,2549,34,1949,33,600,1
11/16/2020,Bullock,Alabama,1011,677,19,631,15,46,4
11/16/2020,Butler,Alabama,1013,1087,41,1031,40,56,1
11/16/2020,Calhoun,Alabama,1015,5608,77,4738,68,870,9
11/16/2020,Chambers,Alabama,1017,1570,48,1010,41,560,7
11/16/2020,Cherokee,Alabama,1019,908,15,650,14,258,1
11/16/2020,Chilton,Alabama,1021,2078,36,1869,29,209,7
11/16/2020,Choctaw,Alabama,1023,411,12,378,12,33,0
11/16/2020,Clarke,Alabama,1025,1503,18,1225,16,278,2
11/16/2020,Clay,Alabama,1027,850,13,727,13,123,0
11/16/2020,Cleburne,Alabama,1029,669,11,623,11,46,0
11/16/2020,Coffee,Alabama,1031,2170,14,1609,7,561,7
11/16/2020,Colbert,Alabama,1033,2736,38,2235,35,501,3
11/16/2020,Conecuh,Alabama,1035,645,14,523,14,122,0
11/16/2020,Coosa,Alabama,1037,269,3,182,3,87,0
11/16/2020,Covington,Alabama,1039,2039,32,1142,29,897,3
11/16/2020,Crenshaw,Alabama,1041,675,30,520,28,155,2
11/16/2020,Cullman,Alabama,1043,3701,30,2765,23,936,7
11/16/2020,Dale,Alabama,1045,2175,54,1582,54,593,0
11/16/2020,Dallas,Alabama,1047,2062,28,1675,26,387,2
11/16/2020,DeKalb,Alabama,1049,4209,34,3857,33,352,1
11/16/2020,Elmore,Alabama,1051,3648,61,3142,57,506,4
11/16/2020,Escambia,Alabama,1053,1881,31,1486,30,395,1
11/16/2020,Etowah,Alabama,1055,5348,61,4626,59,722,2
11/16/2020,Fayette,Alabama,1057,735,15,631,13,104,2
11/16/2020,Franklin,Alabama,1059,2336,33,2154,33,182,0
11/16/2020,Geneva,Alabama,1061,1101,8,762,8,339,0
11/16/2020,Greene,Alabama,1063,375,17,344,15,31,2
11/16/2020,Hale,Alabama,1065,873,30,764,29,109,1
11/16/2020,Henry,Alabama,1067,815,6,501,5,314,1
11/16/2020,Houston,Alabama,1069,4761,37,2665,28,2096,9
11/16/2020,Jackson,Alabama,1071,2719,23,2545,21,174,2
11/16/2020,Jefferson,Alabama,1073,27884,461,26444,438,1440,23
11/16/2020,Lamar,Alabama,1075,584,7,495,6,89,1
11/16/2020,Lauderdale,Alabama,1077,3298,51,2377,47,921,4
11/16/2020,Lawrence,Alabama,1079,1076,35,978,35,98,0
11/16/2020,Lee,Alabama,1081,7212,65,4561,51,2651,14
11/16/2020,Limestone,Alabama,1083,3653,41,3472,40,181,1
11/16/2020,Lowndes,Alabama,1085,760,29,715,27,45,2
11/16/2020,Macon,Alabama,1087,654,20,575,16,79,4
11/16/2020,Madison,Alabama,1089,11305,118,10619,106,686,12
11/16/2020,Marengo,Alabama,1091,1132,24,1064,22,68,2
11/16/2020,Marion,Alabama,1093,1276,32,1124,31,152,1
11/16/2020,Marshall,Alabama,1095,5330,53,4853,52,477,1
11/16/2020,Mobile,Alabama,1097,18524,339,15138,328,3386,11
11/16/2020,Monroe,Alabama,1099,732,10,521,9,211,1
11/16/2020,Montgomery,Alabama,1101,11596,224,10881,214,715,10
11/16/2020,Morgan,Alabama,1103,5400,41,5049,39,351,2
11/16/2020,Perry,Alabama,1105,639,6,578,6,61,0
11/16/2020,Pickens,Alabama,1107,1073,18,897,14,176,4
11/16/2020,Pike,Alabama,1109,1494,14,1073,11,421,3
11/16/2020,Randolph,Alabama,1111,950,20,784,17,166,3
11/16/2020,Russell,Alabama,1113,2073,3,1892,3,181,0
11/16/2020,Shelby,Alabama,1117,9011,73,7937,60,1074,13
11/16/2020,St. Clair,Alabama,1115,3736,55,3194,54,542,1
11/16/2020,Sumter,Alabama,1119,533,21,502,20,31,1
11/16/2020,Talladega,Alabama,1121,3171,41,2114,38,1057,3
11/16/2020,Tallapoosa,Alabama,1123,1604,88,1257,87,347,1
11/16/2020,Tuscaloosa,Alabama,1125,11810,148,8379,118,3431,30
11/16/2020,Walker,Alabama,1127,3294,96,3004,89,290,7
11/16/2020,Washington,Alabama,1129,875,12,687,12,188,0
11/16/2020,Wilcox,Alabama,1131,606,12,529,12,77,0
11/16/2020,Winston,Alabama,1133,1138,22,1008,21,130,1
11/16/2020,Aleutians East Borough,Alaska,2013,21,0,,0,,
11/16/2020,Aleutians West Census Area,Alaska,2016,105,0,,0,,
11/16/2020,Anchorage,Alaska,2020,12305,59,,59,,
11/16/2020,Bethel Census Area,Alaska,2050,906,1,,1,,
11/16/2020,Bristol Bay Borough,Alaska,2060,76,0,,,,
11/16/2020,Denali Borough,Alaska,2068,38,0,,0,,
11/16/2020,Dillingham Census Area,Alaska,2070,80,0,,0,,
11/16/2020,Fairbanks North Star Borough,Alaska,2090,2877,17,,17,,
11/16/2020,Haines Borough,Alaska,2100,16,0,,0,,
11/16/2020,Juneau City and Borough,Alaska,2110,734,2,,2,,
11/16/2020,Kenai Peninsula Borough,Alaska,2122,1741,3,,3,,
11/16/2020,Ketchikan Gateway Borough,Alaska,2130,171,0,,0,,
11/16/2020,Kodiak Island Borough,Alaska,2150,170,0,,0,,
11/16/2020,Kusilvak Census Area,Alaska,2158,353,0,,0,,
11/16/2020,Lake and Peninsula Borough,Alaska,2164,5,0,,,,
11/16/2020,Matanuska-Susitna Borough,Alaska,2170,2316,5,,5,,
11/16/2020,Nome Census Area,Alaska,2180,165,0,,0,,
11/16/2020,North Slope Borough,Alaska,2185,375,0,,0,,
11/16/2020,Northwest Arctic Borough,Alaska,2188,307,0,,0,,
11/16/2020,Petersburg Borough,Alaska,2195,20,0,,0,,
11/16/2020,Prince of Wales-Hyder Census Area,Alaska,2198,44,1,,1,,
11/16/2020,Sitka City and Borough,Alaska,2220,131,0,,0,,
11/16/2020,Skagway Municipality,Alaska,2230,7,0,,0,,
